Column1,Column2,Column3,Column32,Column33,Column4,Column5
010010-99999 ,JAN MAYEN(NOR-NAVY)             ,70.933,-8.667,9,01/01/1931,01/02/2023
010014-99999 ,SORSTOKKEN                      ,59.792,5.341,48.8,20/11/1986,01/02/2023
010030-99999 ,HORNSUND                        ,77,15.5,12,01/06/1985,31/01/2023
010070-99999 ,NY-ALESUND                      ,78.917,11.933,7.7,06/01/1973,01/02/2023
010080-99999 ,LONGYEAR                        ,78.246,15.466,26.8,29/09/1975,01/02/2023
010100-99999 ,ANDOYA                          ,69.293,16.144,13.1,03/01/1931,01/02/2023
010150-99999 ,HEKKINGEN FYR                   ,69.6,17.833,14,14/03/1980,31/01/2023
010230-99999 ,BARDUFOSS                       ,69.056,18.54,76.8,13/07/1940,01/02/2023
010250-99999 ,TROMSO                          ,69.683,18.919,9.4,01/01/1973,01/02/2023
010260-99999 ,TROMSO                          ,69.65,18.933,114.5,01/02/1997,01/02/2023
010280-99999 ,BJORNOYA ISLAND                 ,74.517,19.017,18,03/01/1931,01/02/2023
010300-99999 ,KISTEFJELL                      ,69.283,18.133,982,01/01/1951,13/01/2023
010330-99999 ,TORSVAG FYR                     ,70.25,19.5,24,01/01/1973,28/01/2023
010370-99999 ,SKIBOTN 2                       ,69.383,20.283,20,01/01/1973,24/01/2023
010440-99999 ,HASVIK                          ,70.487,22.14,6.4,02/01/2005,01/02/2023
010460-99999 ,SORKJOSEN                       ,69.787,20.959,4.9,05/09/1975,01/02/2023
010470-99999 ,KAUTOKEINO II                   ,69.017,23.067,307,01/01/1973,01/02/2023
010490-99999 ,ALTA                            ,69.976,23.372,2.7,01/01/1973,01/02/2023
010520-99999 ,HAMMERFEST AP                   ,70.683,23.683,81,08/10/1940,01/02/2023
010550-99999 ,FRUHOLMEN FYR                   ,71.1,23.983,14.2,01/01/1931,01/02/2023
010580-99999 ,SUOLOVUOPMI LULIT               ,69.567,23.533,381,18/02/2005,24/01/2023
010590-99999 ,BANAK                           ,70.069,24.973,7.6,01/01/1973,01/02/2023
010620-99999 ,HOPEN ISLAND                    ,76.5,25.067,10,01/01/1955,01/02/2023
010680-99999 ,HONNINGSVAG/VALAN               ,71.017,25.983,14,04/06/1980,01/02/2023
010740-99999 ,MEHAMN                          ,71.033,27.833,13,05/09/1975,01/02/2023
010780-99999 ,SLETTNES FYR                    ,71.1,28.233,10,01/01/1973,15/01/2023
010830-99999 ,BERLEVAG                        ,70.867,29.033,13,05/09/1975,01/02/2023
010860-99999 ,BATSFJORD                       ,70.6,29.693,149.4,01/01/2005,01/02/2023
010880-99999 ,VADSO                           ,70.067,29.85,39,05/09/1975,01/02/2023
010890-99999 ,HOYBUKTMOEN                     ,69.726,29.893,86.3,01/11/1940,01/02/2023
010980-99999 ,VARDO                           ,70.367,31.1,15,03/01/1931,01/02/2023
010990-99999 ,VARDO AP / SVARTNES             ,70.355,31.045,12.8,02/01/2005,01/02/2023
011020-99999 ,SKLINNA FYR                     ,65.2,11,16,28/02/1975,31/01/2023
011025-99999 ,HEIDRUN                         ,65.333,7.317,80,24/04/1999,01/02/2023
011050-99999 ,ROTVAER                         ,68.367,15.95,8,01/01/1973,01/02/2023
011060-99999 ,ROEST III                       ,67.517,12.1,2,01/01/1928,17/12/1997
011070-99999 ,ROST (NOR-AFB)                  ,67.517,12.1,4,03/03/1988,01/02/2023
011120-99999 ,BRONNOY                         ,65.461,12.218,7.6,01/01/1973,01/02/2023
011150-99999 ,MYKEN                           ,66.767,12.483,13,01/01/1973,01/02/2023
011160-99999 ,STOKKA                          ,65.95,12.467,17.1,01/04/1973,01/02/2023
011210-99999 ,SOLVAER III                     ,66.367,12.617,10,01/01/1973,01/02/2023
011220-99999 ,KJAERSTAD                       ,65.784,13.215,72.2,14/10/1988,01/02/2023
011410-99999 ,LEKNES                          ,68.15,13.617,26,20/06/1973,01/02/2023
011440-99999 ,HELLIGVAER II                   ,67.4,13.883,24,15/03/2005,12/01/2023
011510-99999 ,MOIRANA                         ,66.367,14.3,70,01/04/1973,01/02/2023
011520-99999 ,BODO                            ,67.269,14.365,12.8,17/09/1940,01/02/2023
011560-99999 ,BO I VESTERALEN                 ,68.6,14.433,7.6,10/05/2004,01/02/2023
011600-99999 ,SKROVA FYR                      ,68.15,14.65,11,01/01/1973,01/02/2023
011610-99999 ,SVOLVAER/HELLE                  ,68.25,14.667,9,20/06/1973,01/02/2023
011620-99999 ,STORKMARKNES/SKAGEN             ,68.583,15.017,3,20/06/1973,01/02/2023
011800-99999 ,HARSTAD                         ,68.8,16.533,45,10/05/2004,01/02/2023
011830-99999 ,EVENES                          ,68.491,16.678,25.6,05/09/1975,01/02/2023
011940-99999 ,NARVIK III                      ,68.467,17.5,23,01/01/1973,31/12/1997
012050-99999 ,SVINOY LH                       ,62.333,5.267,37.2,01/01/1973,30/01/2023
012090-99999 ,ORSTA-VOLDA/HOVDEN              ,62.183,6.067,74,11/12/1984,01/02/2023
012100-99999 ,VIGRA                           ,62.56,6.11,21,01/01/1973,01/02/2023
012120-99999 ,ONA II                          ,62.867,6.533,15,01/01/1955,01/02/2023
012170-99999 ,ARO                             ,62.745,7.263,3,01/02/1976,01/02/2023
012180-99999 ,TAFJORD                         ,62.233,7.417,17,01/01/1973,01/02/2023
012230-99999 ,KVERNBERGET                     ,63.112,7.825,62.2,01/01/1973,01/02/2023
012240-99999 ,AALESUND                        ,62.467,6.217,50,01/12/1984,29/01/2023
012250-99999 ,VEIHOLMEN                       ,63.517,7.95,5,01/01/1973,28/01/2023
012280-99999 ,SULA                            ,63.85,8.467,6,01/01/1973,24/01/2023
012330-99999 ,DOMBAAS                         ,62.083,9.117,638,21/11/2006,01/02/2023
012340-99999 ,ORKDAL-THAMSHAMN                ,63.317,9.85,4,21/11/2006,01/02/2023
012380-99999 ,FOKSTUA II                      ,62.117,9.283,974,01/01/1973,01/02/2023
012400-99999 ,HALTEN FYR                      ,64.167,9.4,16,10/01/1985,25/01/2023
012410-99999 ,ORLAND                          ,63.699,9.604,8.5,01/01/1973,01/02/2023
012570-99999 ,TRONDHEIM/VOLL                  ,63.417,10.45,131.5,06/04/2004,12/01/2023
012620-99999 ,NORDOYAN FYR                    ,64.8,10.55,33,02/01/1928,25/01/2023
012650-99999 ,TYNSET-HANSMOEN                 ,62.267,10.733,482.3,01/01/1949,01/02/2023
012710-99999 ,VAERNES                         ,63.458,10.94,17.1,13/04/1940,01/02/2023
012770-99999 ,STEINKJER                       ,64.017,11.45,80,01/01/1973,13/01/2023
012820-99999 ,RORVIK/RYUM                     ,64.85,11.233,14,01/09/1995,01/02/2023
012880-99999 ,ROROS                           ,62.567,11.383,630,01/01/1973,01/02/2023
012900-99999 ,NAMSOS AIRPORT                  ,64.467,11.583,2,01/04/1973,01/02/2023
012930-99999 ,MERAKER-EGGE                    ,63.417,11.733,171,15/02/2005,28/01/2023
013000-99999 ,GULLFAKS C                      ,61.2,2.267,78,01/06/2001,01/02/2023
013005-99999 ,STATFJORD OIL PLATFORM HELIPO   ,61.25,1.85,117.7,04/12/1984,01/02/2023
013040-99999 ,YTTEROYANE FYR                  ,61.567,4.683,25,01/09/1984,31/01/2023
013060-99999 ,HELLISOY FYR                    ,60.75,4.717,23,01/01/1973,29/12/2004
013070-99999 ,FEDJE                           ,60.75,4.717,20,18/02/2005,01/02/2023
013100-99999 ,FLORO                           ,61.584,5.025,11.3,07/04/1980,01/02/2023
013110-99999 ,FLESLAND                        ,60.293,5.218,51.8,01/01/1973,01/02/2023
013170-99999 ,BERGEN/FLORIDA                  ,60.383,5.333,36,01/01/1973,30/01/2023
013200-99999 ,SANDANE/ANDA                    ,61.833,6.117,60,04/09/1981,01/02/2023
013210-99999 ,STRYN                           ,61.9,6.55,208,01/01/1973,01/02/2023
013230-99999 ,BRINGELAND                      ,61.393,5.764,327,02/05/1984,01/02/2023
013270-99999 ,KVAMSKOGEN-JONSHOGDI            ,60.383,5.967,455,21/11/2006,01/02/2023
013290-99999 ,KVAMSOY                         ,60.35,6.267,50,18/02/2005,01/02/2023
013320-99999 ,FJAERLAND BREMUSEET             ,61.43,6.77,3,01/02/2006,01/02/2023
013370-99999 ,VOSSEVANGEN                     ,60.633,6.433,55,18/02/2005,01/02/2023
013380-99999 ,VANGSNES                        ,61.167,6.65,51,06/07/2004,01/02/2023
