Dataset,Periodo,Variable,Promedio,P95
HadISD,DS,TW,20.84657864938766,25.029999999999973
HadISD,FP,TW,22.317510263596017,25.79516666666668
HadISD,MSD,TW,22.191646293875994,25.50999999999999
HadISD,SP,TW,21.908448564570904,25.1369583333333
HadISD,DW,TW,19.71387426283537,23.829999999999984
HadISD,DS,T,25.112092553924246,32.1
HadISD,FP,T,25.75335008740303,32.0
HadISD,MSD,T,25.17258165637973,30.642857142857142
HadISD,SP,T,24.46809094056283,30.0
HadISD,DW,T,22.496200096357807,28.7
HadISD,DS,SH,14.706632536013336,18.518962602001412
HadISD,FP,SH,16.509072885182697,19.537342551706068
HadISD,MSD,SH,16.557409497949415,19.176388043113327
HadISD,SP,SH,16.428469606777462,18.990995833893543
HadISD,DW,SH,14.214986843985614,17.52882247579038
ERA5-Land,DS,TW,19.476438651401587,21.748277777777776
ERA5-Land,FP,TW,21.419606765798555,22.873333333333328
ERA5-Land,MSD,TW,21.38748714114305,22.75888888888889
ERA5-Land,SP,TW,21.11509066787649,22.724444444444444
ERA5-Land,DW,TW,18.78507290135126,21.313333333333333
ERA5-Land,DS,T,24.204025,30.983157539367674
ERA5-Land,FP,T,24.564745,30.142547130584717
ERA5-Land,MSD,T,23.909607,28.27123737335205
ERA5-Land,SP,T,23.062637,27.2638578414917
ERA5-Land,DW,T,21.387701,26.416471195220947
ERA5-Land,DS,SH,13.434595,15.797772073745726
ERA5-Land,FP,SH,15.942671,17.37472915649414
ERA5-Land,MSD,SH,16.142391,17.223426342010498
ERA5-Land,SP,SH,16.091755,17.342087745666504
ERA5-Land,DW,SH,13.597572,15.853745174407958
